iter	MultiClass
0	1.077192536
1	1.058143735
2	1.041425819
3	1.006462103
4	0.9876476334
5	0.9602093217
6	0.9404537865
7	0.9228083371
8	0.9080954371
9	0.8978285645
10	0.8879119914
11	0.8754906884
12	0.8694565299
13	0.8627604851
14	0.8498875121
15	0.8345881651
16	0.830205398
17	0.8216177475
18	0.8122928264
19	0.8068091506
20	0.8012271076
21	0.7985615906
22	0.7956332352
23	0.7893560559
24	0.7875661712
25	0.7814984533
26	0.7781800044
27	0.7685602801
28	0.7613474423
29	0.7579968276
30	0.7544527346
31	0.7521330442
32	0.7481158668
33	0.7428072213
34	0.7377888267
35	0.7354069393
36	0.7318894123
37	0.7301947868
38	0.728150562
39	0.7264861083
40	0.7230341072
41	0.7211349405
42	0.7193977433
43	0.7170297288
44	0.7144057382
45	0.7116508848
46	0.7092722665
47	0.7077592157
48	0.7045129823
49	0.7024910777
50	0.7001501016
51	0.6986996575
52	0.696754958
53	0.6929616556
54	0.6910648883
55	0.688863496
56	0.6875897001
57	0.6853050377
58	0.6841587518
59	0.6815315895
60	0.6794790708
61	0.6782962621
62	0.6763217944
63	0.6741868339
64	0.6724124052
65	0.6701940531
66	0.6687192
67	0.6654429339
68	0.6635121733
69	0.6611269042
70	0.6596482667
71	0.6579051544
72	0.6563393684
73	0.6547453239
74	0.6531296661
75	0.6500925427
76	0.648666346
77	0.6469862763
78	0.6454918994
79	0.6436619324
80	0.6421536876
81	0.6408278857
82	0.639100711
83	0.6346100416
84	0.633046993
85	0.6309718844
86	0.6293199338
87	0.6274853346
88	0.6261515601
89	0.6239389741
90	0.6221942917
91	0.6201009127
92	0.6182929261
93	0.617058868
94	0.6155960886
95	0.6138818085
96	0.6121376223
97	0.6106447841
98	0.6091834205
99	0.6065559477
100	0.6053453093
101	0.6041872901
102	0.602913521
103	0.6016409553
104	0.5997341784
105	0.5982026816
106	0.5969472444
107	0.5952000537
108	0.5943117606
109	0.593252912
110	0.5906757026
111	0.5883146645
112	0.5873855631
113	0.5865917396
114	0.5849844413
115	0.5836659868
116	0.5821569083
117	0.5778448538
118	0.5765978587
119	0.5750735814
120	0.5736474435
121	0.5702385436
122	0.5693875947
123	0.567926197
124	0.5668316811
125	0.5654657481
126	0.5638895071
127	0.5622496823
128	0.5616044509
129	0.5601607654
130	0.5587737151
131	0.5552921976
132	0.553667379
133	0.5519249805
134	0.5507603793
135	0.5498719599
136	0.5480194924
137	0.5472194115
138	0.5463975711
139	0.5451953069
140	0.5439133575
141	0.542375572
142	0.5407990117
143	0.5393521467
144	0.5384144651
145	0.5369000931
146	0.5358291324
147	0.5348483715
148	0.5333773695
149	0.5326450797
150	0.5314782594
151	0.53027766
152	0.5289190949
153	0.5283331517
154	0.5272521084
155	0.5258471356
156	0.5250022779
157	0.5239942962
158	0.5233096099
159	0.5222430608
160	0.5212187892
161	0.5206567826
162	0.5198713423
163	0.5183828265
164	0.5169956413
165	0.5159203167
166	0.5145974093
167	0.5131117772
168	0.5122001297
169	0.5105711029
170	0.5090720449
171	0.5083716831
172	0.5068017703
173	0.5057611502
174	0.5048293978
175	0.5041408592
176	0.5026719941
177	0.5018226051
178	0.5003827801
179	0.4994541574
180	0.4986805584
181	0.4975590042
182	0.496756107
183	0.4960768046
184	0.495064645
185	0.4940127779
186	0.4928277584
187	0.4920405505
188	0.490973995
189	0.4898230179
190	0.4888151438
191	0.4877053734
192	0.486507234
193	0.4857692565
194	0.4845577029
195	0.4830848421
